"Date","Close_AAPL","Volume_AAPL","Daily_Returns_AAPL","Close_TSLA","Volume_TSLA","Daily_Returns_TSLA","Close_BA","Volume_BA","Daily_Returns_BA","Close_SPY","Daily_Returns_SPY"
2020-01-02,75.087502,135480400,NA,28.684,142981500,NA,333.320007,4544400,NA,324.869995,NA
2020-01-03,74.357498,146322800,-0.00972204402271891,29.534,266677500,0.0296332450146422,332.76001,3875900,-0.00168005816704532,322.410004,-0.00757223208625346
2020-01-06,74.949997,118387200,0.00796824820544647,30.102667,151995000,0.019254655651114,333.73999,5355000,0.00294500532080148,323.640015,0.00381505221531522
2020-01-07,74.597504,108872000,-0.00470304221626581,31.270666,268231500,0.0388005155822239,337.279999,9898600,0.0106070866724722,322.730011,-0.0028117783890228
2020-01-08,75.797501,132079200,0.016086288892454,32.809334,467164500,0.049204836251329,331.369995,8239200,-0.0175225451183661,324.450012,0.00532953534339893
2020-01-09,77.407501,170108400,0.0212408058149569,32.089333,426606000,-0.0219450050403338,336.339996,8175600,0.0149983434680016,326.649994,0.006780650080543
2020-01-10,77.582497,140644800,0.00226071114219289,31.876667,194392500,-0.00662731132491916,329.920013,7161700,-0.0190877774762179,325.709991,-0.00287770707872718
2020-01-13,79.239998,121532000,0.0213643677903277,34.990665,397764000,0.0976889459616339,330.220001,5648500,0.000909274939923216,327.950012,0.00687734813759524
2020-01-14,78.169998,161954400,-0.0135032815119454,35.861332,434943000,0.0248828366079924,332.350006,6945300,0.00645026041290571,327.450012,-0.00152462260010529
2020-01-15,77.834999,121923600,-0.00428551885085133,34.566666,260532000,-0.0361020053577486,329.799988,4578300,-0.00767268829235412,328.190002,0.00225985638381952
2020-01-16,78.809998,108829200,0.0125264856751652,34.232666,326050500,-0.0096624881323526,332,4024100,0.0066707461493298,330.920013,0.00831838564052293
2020-01-17,79.682503,137816400,0.0110709938096941,34.033333,204436500,-0.00582288858250195,324.149994,11061700,-0.0236445963855422,331.950012,0.0031125316074493
2020-01-21,79.142502,110843200,-0.00677690809988742,36.48,267052500,0.0718903141223341,313.369995,19318000,-0.0332562060760056,331.299988,-0.00195819845308525
2020-01-22,79.425003,101832400,0.00356952323796903,37.970669,470535000,0.0408626370614036,309,18792600,-0.0139451608951904,331.339996,0.000120760644277477
2020-01-23,79.807503,104472000,0.00481586384076049,38.146667,294765000,0.00463510400620015,317.790009,9702100,0.0284466310679612,331.720001,0.00114687331619344
2020-01-24,79.577499,146537600,-0.00288198466753175,37.654667,215304000,-0.0128975881431528,323.049988,17798200,0.0165517443942046,328.769989,-0.00889307847313076
2020-01-27,77.237503,161940000,-0.0294052468273726,37.201332,204121500,-0.0120392778934947,316.600006,7468100,-0.0199658945661375,323.5,-0.0160294101539785
